NAME,LEVEL,SUBJECT,COST,INTENSITY,SKILL,DC,DESCRIPTION,ID
SYLENE’S ARMY,STANDARD,WANDCRAFTING,4000,36,CONCENTRATION,15,"A small chest with fine detailed designs in gold and red velvet that contains a collection of tiny clockwork figures that emerge to perform wandcrafting work. Whenever you go to sleep, you can roll Concentration, DC15, and on success, you can open the chest and set the figures to work on a wand overnight, allowing you to make any Wandcrafting roll to repair or create a wand in your sleep. This roll does not take any regular Wandcrafting bonuses you might have, including any bonuses from knowing the target well, but it does take a +1 for each degree of success on the artifact roll. Every Sylene’s Army has one clockwork figure called Poppy who can’t seem to do anything right, so any time you make a wand with this, there’s always one goofy little detail that looks a little bit off on the wand. That’s Poppy’s doing. Sylene never figured out how to deal with the Poppy problem.",artifact_95Ni8rVbDmFV57
TIMEFOLD RINGS,STANDARD,CHRONOMANCY,3700,36,CONCENTRATION,14,"A pair of rings, one red and one gold, that glow faintly when both are worn together. While this artifact is equipped, casting spells as rituals only takes 30 minutes, as the magic bends time around the precise movements of the magic. You can roll Concentration, DC14 to activate more of the rings’ magic to subtract 5 minutes per degree of success (minimum 1 minute) and take a +1 to the spell for each degree of success, but the artifact has a strange design quirk that nobody’s managed to work out: whenever you use it this way, you get a taste of hard-boiled egg in your mouth. Experienced users can’t even taste eggs anymore, they’re so inured to it.",artifact_96uEI6TuMM5cwZ
NEPHERA’S BRANCH OF HARMONY,STANDARD,HERBALISM,3800,34,TRACKING,12,"A gnarled staff made of promiseblossom, a rare tree with deep magic properties to bring one closer to nature’s magic. While you are attuned to this artifact, your magic plant cultivation capacity increases to 150 * your Herbalism ranks. In addition, you can roll Tracking, DC12 to gain one clue per degree of success about the location of the nearest magic plant, or to identify any magic plant.",artifact_9744QEMJhkT3Pm
TRUNDALE’S TRAPDOOR,STANDARD,TELEPORTATION,3500,37,STEALTH,15,"A thin string that glimmers in different prismatic colors, you can pull it to stretch it out to a dark cloth that seems to swallow up anything it comes into contact with. When someone doesn’t know you’re there, you can roll Stealth, DC15 to slip the cloth over their face. On success, they must roll Perception or Agility versus your check or be captured in the cloth, which drops them into a tiny subspace pocket for 1 minute per degree of failure on their check. They are unconscious during this time, and when the effect ends, they are dropped on the ground where they originally were, dazed and confused as if waking up from a deep sleep. Even if you have an effect that would normally let you use items at a distance, you must be in direct contact with the artifact to use it, unless you have the Artificer rank ability Twin Spirits on this artifact.",artifact_98Kkuz9o45vcYt
REDMARE’S POWER FLAME,STANDARD,EVOCATION,3100,39,WILLPOWER,17,"A lens worn like a contact over one eye that glows with an intricate swirling magic design. While this artifact is equipped, rolling a critical success on a spell adds 1 degree of success to the roll as the magic surges up from the artifact and adds to your spell power. You can also roll Willpower, DC17 after rolling a spell to add 1 to the check per degree of success, although any backfires or improvement rolls are triggered with the original roll, not the modified roll.",artifact_99Cit7kR9dxeg2
YAZIR’S STOCKPILE,STANDARD,WANDCRAFTING,3900,35,IMPROVISE,16,"A simple, brassy plate that slowly coalesces magic into materials. While this artifact is attuned to you, it collects 250 materials per day, although they aren’t suitable to be collected as regular magic materials. When you roll to create or repair a wand, you can roll Improvise, DC16 and use the stored materials from this artifact instead of spending your own. You can always tell when a wandcrafter has one of these, because they make a lot of wands they don’t need. You can really, really tell when a wandcrafter has two of these.",artifact_100YviXUhhS5S5R
AELYN’S CRYSTAL BAND,STANDARD,CRYSTALLOMANCY,3700,37,N/A,N/A,"A stylish black band worn on the arm that refracts a thousand faces of a crystal aligned with it. While this artifact is equipped, you can roll any Crystallomancy spell to Align to a given crystal targeting this band instead of yourself. When you do, instead of rolling to Resist, roll for this artifact to backfire. You take any benefits of alignment this artifact has as long as it is equipped, as well as any of your own. If you and the band are Aligned to the same crystal type, then you take the effect of whichever has more degrees of success.",artifact_101D8f16uZtTcxy
MIRROR OF STRANGE FACES,STANDARD,SUMMONING,3200,38,PERSUASION,17,"An ornate mirror in an unusual, twisted design, allowing you to see reflections of other planes. While this artifact is equipped, you can name a plane and see a glimpse of it, although you cannot decide where in the plane you can see. You can roll Persuasion, DC17 and name a type of extraplanar creature to activate the mirror’s magic, and on success, you link with that type of extraplanar creature and can form a connection with it through the mirror, communicating with it as if in the same space. If the creature is willing or if it fails a Strong roll against your check, it becomes friendly to you and forms a regular link, allowing you to commune with that creature at any point without a check and take a +6 to any checks to summon it. You can link with any number of extraplanar creatures this way. In addition, golems can be confused with the mirror: roll Persuasion versus their Weak roll, leaving them confused and dazed on a success.",artifact_102oed9ZCRkIcFl
ONOMY’S STONE SHAPER,STANDARD,TRANSMUTATION,3900,36,IMPROVISE,14,"A twelve-sided chamber with sigils on each side and an interplanar pocket on the inside, glowing with a transmutative energy. While this artifact is active, you can put any object under 100 grams into the chamber and instantly reform it into a different shape, of the same mass and material. You can also roll Improvise, DC14 to place up to 10 kilograms per degree of success into the chamber to be reformed into whatever shape you like, no matter how complex, over the course of 10 minutes. You can also choose for it to come out as a different material or a combination of different materials, although you can’t change it into anything too different, but it takes 1 hour instead if you do. Despite the name, you can put any inorganic object into it to transmute, but Starfall transmutation professor Onomy really likes rocks, so here we are.",artifact_103AzmNanxi5EAn
SILENCE’S RAZOR SIGHT,STANDARD,EVOCATION,3000,40,ANALYZE,19,"A blood-red eyepatch, covering one eye with a glowing red eye design that matches the Great Eagle’s eagle-eye design. While this artifact is equipped, it guides your vision and helps you analyze your magical mistakes, and you can take a +6 to any Body or Sleight of Hand checks to physically throw an object with precision. When you fail a spell check by 1 degree of success, you can roll Analyze, DC19, and on success, you can choose to either turn the roll into 1 degree of success, or to trigger an improvement roll in the spell subject. You can only use this ability if the original roll is 1 degree of failure, not a roll modified beyond roll bonuses.",artifact_1045JAgirS4MjXo
QUEEN OF THE ARSENAL,STANDARD,ARTIFICY,3600,38,WILLPOWER,5,"A tall, ornate staff wrapped in lunar silver filaments and topped with a bronzite crystal, reaching out to other artifacts. While this artifact is equipped, you have a +4 to all Resist checks from attempting to attune to an artifact, and you can tell what artifacts a person has equipped by looking at them. When you attempt to attune to an artifact, you can roll Willpower, DC5 to channel this artifact’s power into it and take a +1 to the attunement roll for each degree of success on this check.",artifact_105wrxLKV4agMpi
CRANE’S EYES,STANDARD,DEMONOLOGY,3200,38,PERSUASION,16,"A diamond-shaped sigil of abyssal steel set with a demonic crystal in the center, that you can press into your body either directly in the center of your collar or on your forehead, where it settles in as a faintly glowing mark. While the artifact is activated in this way, you can tell a person’s total bonus to Resist Doubt just by looking at them. You can roll Persuasion, DC16 to force a target you make eye contact with to roll Willpower versus your check or Resist Doubt, as the artifact seeds demonic magic into their mind to make them question themselves. If they fail with 2 or more degrees of failure on their Willpower check, they don’t realize what you did. You can remove the sigil from your skin at any point, but you must Resist Doubt, DC12 when you do.",artifact_106haBzYyG316Bg
CRYSTAL SHINE OF THE EMPTY MIND,STANDARD,ILLUSION,3700,38,DECEPTION,18,"A small vial of crystal fluid that forms into a shimmering magic dust in the air when poured out, hypnotizing a target. Roll Deception, DC18. On success, one target per degree of success who can see the shimmering cloud must roll Recall Information versus your check or forget the last one minute per degree of failure on their check. In addition, while you have this artifact equipped, you can perfectly remember everything you perceived from the last five minutes, even if you didn’t consciously take it in, so you generally know what you’re erasing from a person’s mind. An artifact cherished and coveted by Rascals, the long and pretentious name puts many of them off, so it’s typically referred to as “Forgettin’ Juice,” much to the artifact designer’s dismay.",artifact_107m81tN8IYR7O7
RIVIERA’S BLACK PORTAL,STANDARD,TELEPORTATION,3200,38,HIDE OBJECT,14,"A beautiful, ornate inkwell that contains a deep, churning liquid darker than black. While this artifact is equipped, you can pour the inkwell out onto a surface, which creates a portal softly radiating darkness. Roll Hide Object, DC14, and on success, you create a secret portal that remains indefinitely or until you close the inkwell again, which causes it to blink shut. Anyone who doesn’t succeed on a Perception or Search check against your check is oblivious to the portal, and if they step on it, they are pulled into a subspace of your design. You know instantly if somebody falls into the portal, no matter where you are, and you can choose to open a communication portal to speak to the person inside the subspace. They remain inside the subspace for 15 minutes or until you close the inkwell, which expels them instantly, returning them to where they fell into the portal. Once you close the inkwell, it takes 10 minutes for it to refill.",artifact_108w3bEqs0ChI6j
DRAGON’S PRESENCE,STANDARD,DRACONOLOGY,3800,39,WILLPOWER,20,"A set of red-scaled pauldrons that give you a dragon’s powerful, commanding aura. While this artifact is active, you have a +2 to Willpower, and most people tend to fear you, respect you, or both. You can roll Willpower, DC20 to emit an explosive wave of commanding energy, forcing everybody within 10 meters to roll Willpower versus your check or Resist Fear. For each degree of success past the first on your check, you can choose to double the size of the effect radius. If you use this effect on a draconic creature, they are likely to take it as a challenge and either flee or attack you. If you somehow manage an effect radius larger than 1 kilometer, you attract the attention of full dragons who want to cut you down to size, but if you can manage that, you might be able to take them.",artifact_109dZXfxCSK6W5H
HAYWORTH’S POISON VEIN,STANDARD,ALCHEMY,4000,35,IMPROVISE,10,"An intricate mechanical piece of magic equipment worn over one arm, pumping with churning magical substances. While this artifact is attuned, you can recognize any poison instantly by looking at it, even if it’s disguised as a different potion. You can roll Improvise, DC10, and on success, you can instantly obtain a poison up to a material cost of 100 per degree of success by expending the material cost on the spot. You can also drink any poison, and choose to break it down instead of metabolizing it, converting it into materials equal to its material cost - 50, but to anyone watching, it will appear as though you are taking the poison normally. You know, in case you want to scare your friends.",artifact_110VByUQx7DCD5N
ARCHITECT’S GOLDEN FLOWER,STANDARD,RUNOLOGY,3900,36,ANALYZE,15,"A small, ornate flower made of lunar platinum and inscribed with ancient runic designs. While this artifact is equipped, you can take a +4 to any check to place a Runic Blessing, and you can gain one clue about what any given rune does just by looking at it. When you set out to create a rune, you can place this artifact in the center of the rune as you make it, where it glows and starts floating above the runic surface, empowering more complex runic designs. Roll Analyze, DC15. For each degree of success, you can reduce one glyph in the rune to Intensity Rank 0, although any runes you create this way must still have at least 2 runes at their regular Intensity Rank (for example, on 3 degrees of success, you can ignore 3 glyphs’ Intensity Rank on a 5-glyph rune, but only 2 glyphs’ Intensity Rank on a 4-glyph rune).",artifact_1110TWm5OV6jyFR
WINGS OF THE FEY WALKER,STANDARD,TELEPORTATION,3300,38,ART,10,"A small brace of fey quartz you can place subtly on your upper back, preparing to imbue your teleportation with fey magic. While this artifact is equipped, you can sense anybody teleporting in your vicinity, as well as see anybody hiding in an adjacent plane as a semi-transparent figure. When you roll to teleport within your home plane, you can roll Art, DC10 to activate the wings on this artifact, sprouting a massive set of spectral wings from the brace that leave a shimmering trail behind you. You can add your degrees of success on the artifact check to your degrees of success on your check to teleport. It also makes you crave tarragon. Fey love tarragon.",artifact_112UvV6pybU5Y7i
MASTER OF SKULLS,STANDARD,NECROMANCY,3700,36,COMPREHEND,17,"A skull-like mask worn over the lower half of your face, channeling necromantic energy. When you confront a body in any form, including at least most of the bones of a creature or a corpse that’s already necromantically animated, you can channel the mask’s commanding force into the corpse and roll Comprehend, DC17 to animate it under your command. If the target is already animated or if it is recently dead, it can choose to resist, rolling Willpower against your check with its current stats or most recent stats it had in life. On failure, or if it consents, the corpse is animated as a creature with stats equal to what it most recently had, whether in life or in undeath, and it remains animated indefinitely and follows your verbal commands. You cannot perceive or command it from a distance, but you can send out a psychic call that it can hear from anywhere to order it to come to you, and you can sense if it is ever destroyed. You can have any number of necromantic creatures animated this way, and you can choose to dispel the magic and destroy them at any point.",artifact_113JX9YMiKekOQE
MEGHAN’S MAGICAL RUNE MAGIC FAIRY BLOSSOM,STANDARD,RUNOLOGY,3900,35,IMPROVISE,14,"A multicolored flower made of crystals that turn slowly on the stem, each one glowing with a different runic energy. When you first attune to this artifact, you instantly learn 4 Basic Runology spells that give Runic Blessings, and you can tell just by looking if somebody has a Runic Blessing while this artifact is equipped. When you’ve given somebody a Runic Blessing, you can activate this artifact and roll Improvise, DC14, and on success, you can cast a new Runic Blessing that runs simultaneously, the flower lighting up while the Runic Blessing is active. You cannot use this ability again until that second Runic Blessing runs out and the flower loses its magic glow. Unexpected rising-star artificer Meghan Gosling really liked this artifact and wanted it to have a “really extra special name,” and everyone told her it was too long, but she kind of does her own thing. Most people refer to this artifact as Meghan’s Blossom. Just don’t let Meghan catch you doing it.",artifact_114LxBdHm4riZVn
SONGWON’S SAVAGE STEP,STANDARD,EVOCATION,3400,35,ENDURANCE,16,"A set of bands in jet-black with crackling golden topaz worn up the length of both arms and around both ankles, all of which radiate brilliant magic light while you run. While this artifact is equipped, you run at twice your regular speed and jump twice your regular height, giving a +4 to Athletics checks to run and jump, and you can roll Endurance, DC16 to spend 1 minute per degree of success running and jumping at 8 times your regular abilities, giving a +10 to Athletics checks to run and jump, although you make an incredible amount of noise and light while this is active. Most human bodies are not designed to handle those speeds: depending on the type of movement you attempt to make, the GM may ask you to roll Agility to avoid crashing and being forced to Resist.",artifact_115BuzsZkr18Jyd
CLOUDLESS’ CLOAK OF STARS,STANDARD,CHRONOMANCY,3600,36,WILLPOWER,15,"A rather stylish artifact that looks like a light beige scarf but billows out to a spectral cloak lined with a glittering starscape when activated. While this artifact is equipped, you can activate its magic, surrounding you with shimmering chronomantic energy. Roll Willpower, DC15. On success, you can pin the current moment in time for 1 minute per degree of success, and once the time runs out or earlier if you choose, you revert time to the point you activated the cloak. When you revert time, you clear any stacks of Wound obtained during that time, but other condition stacks remain.",artifact_116cRpY1PMxjbD3
SPELL-LOCK MATRIX,STANDARD,CRYSTALLOMANCY,3900,36,N/A,N/A,"A crystal matrix of four glimmering crystal cores set anywhere on your body, glowing with thin magic lines of pure colored light between them. While this artifact is equipped, you can cast a spell on any one of the crystals to load the spell into that crystal. Any material costs, backfires, improvements, ritual time, or other aspects of casting are resolved at the time of casting, storing the spell inside any of the four crystals. At any point while a crystal has a spell loaded, you can cast that spell with a roll equal to the roll it was loaded with, which costs 1AP if used in action, no matter the spell level. If you have this artifact equipped and you see somebody else with this artifact equipped, you can instantly tell what spells they have loaded, so it can be kind of a bonding moment when people see each other rocking this, unless one of them is loaded up on hexes, which gets awkward real quick.",artifact_117py3ebTatxzeq
MEYRI’S PAINTBRUSH,STANDARD,SUMMONING,4000,35,ART,10,"A paintbrush with a beautiful passionoak handle banded in brassy gold and bristles harvested from a far-flung extraplanar space, capable of manipulating the fabric of reality. You can roll Art, DC10 to paint with the paintbrush, creating the shape of an object or small creature, which summons the painted object or a golem in the shape of the painted creature into being. You can create 1 kilogram of object, a number which doubles for each degree of success past the first. The brush then takes 1 hour to regain the extraplanar material to paint with, but you can spend 100 materials to instantly recharge it. While you are equipped to the artifact, you also have the undying adoration of blue fuzzies, small extraplanar creatures that look a little like living pom-poms. You should be careful around them. You kind of can’t shake them once you have them.",artifact_118rgR0E16SqZiL
GARLYTH’S BURNING FLOWER,ADVANCED,ALCHEMY,5200,57,IMPROVISE,20,"A thin, ornate paper that you can mentally command at any moment to unfold itself into a brilliant lotus shape, and a spectral flame erupts in the center. While this artifact is equipped, you can take a +4 to all Metabolize checks. You can activate the artifact’s spectral flame and pour a potion into it, rolling Improvise, DC20. On success, you can gain the effects of the potion for 5 minutes per degree of success, or the maximum duration of the potion, whichever is shorter, without needing to metabolize. At the end of this duration, you crash, experiencing the opposite effect of the potion, as determined by the GM. You can use this ability even while currently metabolizing a potion. You can mentally command the flower to close again at any time, but if you open it and don’t feed it a potion, it will be upset.",artifact_119XvkdW0wX9jit
HEART OF SHATTERED GLASS,ADVANCED,DIVINATION,5700,55,"CONCENTRATION, COMPREHEND",20,"A heart-shaped locket made of crystal that seems to have a reflection of a different person in each of its countless faces. While this artifact is equipped, you always know if you’re being perceived with divination or if divinatory perception is close by. You can open the artifact and roll Concentration or Comprehend, DC20, causing a number of crystal fragments equal to your degrees of success to tumble out, swirling slowly through the air around you. You can touch any one fragment and either send it to embed itself into a person’s soul, or use it to cast Scry on a person without material cost. If you have embedded a fragment into a person’s soul before, you can choose to take the result of your artifact roll on the Scry check against that person, and it cannot be tracked. The fragment embedding can be felt with a similar sensation as being pinched, but otherwise the target won’t necessarily know what you’ve done. The swirling crystal fragments remain for 5 minutes, after which they fall to the ground and disappear.",artifact_120h0C75Ovw4a8h
NAIL OF THE GREAT DRAGON,ADVANCED,DRACONOLOGY,5200,60,"WILLPOWER, WIN OVER",20,"An ornate, twisted bolt from the same metal as the great magic vault that once sealed away the Great Dragon of Starfall Academy, the seal whose shattering represents the truce between humans and dragons. While this artifact is equipped, draconic creatures will not be hostile to you without some particular grievance against you specifically, and you can make Charm checks on any draconic creature as on a person. You can activate it in the presence of a draconic creature and roll Willpower or Win Over, DC20, and if the creature is hostile to you, it will become neutral, and if the creature is not hostile, you can forge a telepathic bond between you and the draconic creature that persists over any distance on the same plane, although it can be broken at any point either you or the creature desires to break it. When you have a link to a draconic creature, take a +6 to Charm checks against it.",artifact_121J7SQ6E6xZeJy
MIND MURMUR,ADVANCED,ARCANE HISTORY,5500,54,TACT,N/A,"A flower-shaped ornament just big enough to fit in your palm, each petal a different crystal imbued with a different aspect of cryptomancy. While this artifact is equipped, you can take a +4 to any Persuasion roll that you spend at least 5 minutes of conversation on, as it weaves secret messages into your words. You can activate the artifact by rolling Tact against the Comprehend of a target you are in conversation with, and on a success, you can transmit a subliminal message underneath your words that will emerge in their mind at some point over the next 4 hours as a thought from their own mind, although they will not necessarily entertain the thought. On three or more degrees of failure, the target knows what you’re doing. You can choose any number of targets to explicitly hear the subliminal messages.",artifact_1227yeyljygcSUP
CRYSTAL GUARDIAN,ADVANCED,CRYSTALLOMANCY,6200,53,TRACKING,20,"A small, unremarkable sphere of reflective metal. While this artifact is equipped, you can instantly tell what crystal any given person is aligned to just by looking, if any. You can activate the artifact by rolling Tracking, DC20. On success, the sphere expands into an array of spectral crystals that swirl like stars around you. You can choose one target per degree of success who you can see or whose full name you know, and they must roll Willpower or Stealth or be invisibly marked. You can expand the sphere at any time without a check and instantly learn the location of everybody you’ve marked with this artifact, as long as they’re on your current plane. You can only have up to 6 people marked in this way, but you can unmark anybody at any point. Good for international super spies or campus busybodies alike.",artifact_123TgXcoERF7k6a
SARINA’S SONG,ADVANCED,HYPNOMANCY,5300,59,DECEPTION,21,"A set of four rings worn in any configuration across both hands, in a shimmery rose-gold that seems to always refract a slightly different color than before. While this artifact is active, you can touch anybody experiencing a dream and see the dream through their eyes, and you can take a +4 to Hypnomancy spells to affect their dream. You can activate the artifact by rolling Deception, DC21, to speak laced with hypnomantic effect. Anybody who listens to it for more than one minute must roll Willpower or Endurance against your check or fall into a trance for 10 minutes where they experience a dream of anything you like. A target who experiences the full 10 minutes of this trance dream must roll Comprehend versus your check or be unable to tell which parts from the last hour, including the dream, were real and which were a dream. The titular hypnomancer herself, Sarina, got in trouble during her scholarship at Starfall for using this artifact during class presentations, but she always thought it was funny. To be fair, it kind of was.",artifact_124MaKy37gqOQNR
GREAT BOAR’S ASPECT,ADVANCED,BESTIOLOGY,5300,59,CREATURE,21,"A pin emblazoned with a glowing emerald sigil. While this artifact is equipped, you can lift and carry up to ten times your weight without a check, and you can take a +6 to Athletics or Endurance checks to hold or carry a large weight. You can activate the artifact by rolling Creature, DC21, to remove the pin and throw it forward, where it expands into a creature that takes whatever form you specify and fits within a 2-meter cube. The creature lasts for 1 hour or until you dismiss it, and it has 1 Resolve and rolls 0/15 regardless of its form, but the form you choose will inform what skills it is strong in. The creature follows your commands as best it can, but it is known for being a little pigheaded no matter if its head is pig or not. It always wants to be glorious.",artifact_125L4fFRjTvY0t5
IMPERIA’S INFINITY,ADVANCED,WANDCRAFTING,5000,62,COMPREHEND,19,"A pendant with a small crystal infinity symbol that, while worn, creates a spectral swirl of silvery magic that flows like an infinity symbol around you. While this artifact is equipped, you can equip wands that are bound to somebody else. You can activate the artifact by touching the pendant and speaking a name you bestow on it upon first attuning, and rolling Comprehend, DC19. For each degree of success, you can equip an additional wand past your first for the next 10 minutes. At the end of this time, you return to only the first wand you had equipped. You cannot equip multiple of the same wand with this ability. This isn’t because of limitations in the artifact or because of unstable magic power, but because wands are total divas and couldn’t bear having copies.",artifact_12617eEMrSXUkOy
WARPDROP,ADVANCED,ALCHEMY,5500,54,CONCENTRATION,N/A,"A band of feytouched lunar platinum worn around the upper arm, with six slots for your potion vials, where they disappear into magic glyphs on the band once potions are slotted in. While this artifact is equipped, you can take a potion or give a potion to a willing target subtly by touching the artifact and whispering a signal phrase to teleport the potion into the target’s system (1AP). If the target is unwilling, roll Concentration against their Perception (2AP). If they succeed, the potion appears in their mouth, and they can choose whether to take it or spit it out. You cannot transmit anything other than potions to people with the artifact, in an effort to keep people from giving orange juice to the fey.",artifact_127INz3aIxFrl1E
SHARD OF SPLINTERED SOUL,ADVANCED,NECROMANCY,5300,58,"CONCENTRATION, STEALTH",20,"A glassy orb that contains a shard of angel’s stone inside, a volatile and rare compound said to stabilize your soul—and a shard destabilizes it. While this artifact is equipped, you have no magic presence, and runes do not respond to your presence. You can clasp the orb in both hands and speak an incantation to activate the artifact, rolling Concentration or Stealth, DC20. On success, you transfer your soul out of your body and into a target object you can see, where it moves as if enchanted under your command. Your senses while in this state depend on the object you transferred to, but you generally have at least limited, murky sight and a sense of touch. Your body remains animate and can follow simple instructions you left for it, but it cannot speak. You can return to your body at any point, at which point you instantly become aware of everything your body sensed since you left it. If you like disassociating, this is basically the next level.",artifact_128RmmO2SaMSj4m
CLAY OF THE CRYSTAL CREATOR,ADVANCED,ENCHANTMENT,6000,55,ART,21,"A silvery bangle inlaid with a long, thin band of what first appears like crystal but on closer inspection is a flowing translucent fluid. While this artifact is equipped, you can immediately tell when an object is enchanted, the basic details of what its enchantment does, and you can place the same enchantment on other objects as if you know the spell as long as you can see that enchanted object. You can tap two fingers to the center of the bangle to draw out the fluid into a claylike compound that molds under your will. Roll Art, DC21. On success, you can instantly create an object up to 1 kilogram made entirely of this material, although it can make itself look like anything at all. This object is automatically enchanted with any Standard spell you know or any Basic spell you like. The object lasts as long as you like, but you cannot use this ability again until you dismiss it to return it to your bangle.",artifact_129EdgGhpkpgoEq
EYE OF THE WISE DRAGON,ADVANCED,DRACONOLOGY,6000,64,CONCENTRATION,23,"A piece of jewelry that may take different forms but is always set with a crystal dragon’s eye forged from a willingly-given scale of a water wyrm. While this artifact is active, you can take a +4 to any one spell of your choosing when you first attune to this artifact. You can roll Concentration, DC23 to add this bonus to any spell you cast. Intended as a symbol of harmony between humans and dragons, this artifact entered the public awareness when it was used by Levinia Argon, who tricked a water wyrm and then used the artifact to crush her enemies, which kind of got in the way of the whole harmony thing.",artifact_130uC1uG71RrN9f
ALIRA’S THOUSAND EYES,ADVANCED,TELEKINESIS,5600,58,HIDE OBJECT,22,"A small device of crimson blinkstone crystal set in a base of abyssal steel. While this artifact is equipped, you can cast Telekinesis spells without a wand with no penalty, and you can take a +6 to checks to cast them subtly. You can activate this artifact by spending 5 minutes performing a ritual on the gem and rolling Hide Object, DC22, to create a Control Node, a tiny, invisible magic tag in the target location. Any time you have at least one Control Node on the same plane as you, you can touch the gemstone to create swirling orbits of magic around you representing your Control Nodes, and you can see from and cast any Telekinesis spell you know from the location of a Control Node instead of your current location. You can only have a maximum number of Control Nodes equal to your Telekinesis rank (minimum 3), but you can dispel any of them from anywhere. A powerful artifact, its most common use is for subterfuge, followed closely by as a baby monitor.",artifact_1310UIvgXKO3gKd
MARTELO’S WRATH,ADVANCED,EVOCATION,5000,60,ENDURANCE,24,"A half mask of glass forged in draconic fire that melds with your face when you put it on, leaving only Martelo’s symbol glowing like a rune over your skin. While this artifact is active, any time you succeed on casting a spell against a target’s roll, add an extra degree of success. You can activate the artifact by rolling Endurance, DC24. On success, the mask erupts with a flame of magic energy that courses through your body, empowering your casting magic. Choose one field of magic. For the next 10 minutes, you can take a +6 to all spells cast in this field, but you cannot cast any other field of magic. You can end the effect early, but whenever it ends, you crash for 5 minutes and cannot cast any spells until the crash wears off. Legendary in the mythos of Baranomichi Colégio, great evoker Martelo was known for breaking things, hitting things, and… and breaking things.",artifact_132ygjX9rdLh0Y1
SILVER WATER MIRROR,ADVANCED,ILLUSION,5900,64,"ANALYZE, READ PERSON",23,"A ring of lunar silver with a spectral mirror in the middle that seems to ripple like water. While this artifact is active, you can cast the spell Second Self as a Basic spell, whether you know it or not. You can hold the ring up to capture somebody’s reflection, lighting up stars and galaxies along the outer ring, and roll Analyze or Read Person, DC23. On success, you store a likeness of the target person in the Mirror, and any time you use the artifact’s ability to cast Second Self, you can expend one captured likeness to summon a spectral copy of that person. You can choose for the copy to follow your directions or to behave with the original target’s personality and mannerisms, to help it potentially pass as the target. Depending on how guarded the target is and how many degrees of success you got on your artifact activation roll, the GM may decide the spectral copy has information the target has, as well. Good to let you hang out with your unattainable K-Pop idol crush.",artifact_133vtjingE4QFRl
GOODBYE BLOSSOM,ADVANCED,ILLUSION,5200,56,"CONCENTRATION, STEALTH",20,"A cherry branch that continually sheds spectral cherry blossoms, disappearing before they touch the ground. While this artifact is equipped, you can take a +4 to all Illusion spells cast while undetected. You can activate the artifact by rolling Concentration or Stealth, DC20. On success, you can cast Invisibility and Nondetection as Basic spells for the next 1 minute, whether you know them or not, as the blossom sheds a haunting violet light that only you can see, swathing you in magic of disappearance. Once popular with rascals, the artifact became too well-known when a mainstream (read: sellout) spectral rocker started wearing it to shows and Buzzfeed called it “the ultimate emo kid’s dream.” That kind of killed its cool cred.",artifact_134UWmwOkbuk1Jg
MASTER OF WORLDS,ADVANCED,TELEPORTATION,5500,58,"WILLPOWER, IMPROVISE",21,"A pair of spectral boots worn over your own shoes that flare up with a ghostly lavender flame. While this artifact is equipped, you cannot be teleported against your will, and any time you’re on a plane other than your own, you can always choose to instantly return to your own. You can activate the artifact by stomping one foot down and calling up a shower of ghostly flame. Roll Willpower or Improvise, DC21. On success, you create a temporary subspace you can bring yourself into and up to 4 other people close by who don’t make a Willpower check against your artifact roll. You can determine the general nature of the subspace, but the details will be out of your control except on higher degrees of success. You can stay in this subspace indefinitely, but anybody else in the subspace can roll to escape every 10 minutes, as long as they’re able to cast magic.",artifact_135LcHGqLqskg2t
TIMESONG ORCHESTRA,ADVANCED,CHRONOMANCY,6100,59,"ART, COMPREHEND",24,"A baton that at first glance looks like a simple wand, made from ancient whisperwood rich with chronomantic power. While this artifact is equipped, Advanced Chronomancy spells have their Material cost halved. You can hold the baton up in the air to lead the weaves of the timestream like players in an orchestra, rolling Art or Comprehend, DC24. On success, you can get a brief overview of the important moments from the past 24 hours of a given target you can see, and you can revert time to any of those important moments. You stay in the past for 15 minutes per degree of success on your roll, and you return to the position you were in at that time, although you gain one clue about the target’s location or what they’re doing per degree of success. Any changes you make during this time remain in the timestream.",artifact_136DuIF7mzDT7Fz
CELESTIAL GUARDIAN,ADVANCED,RESTORATION,5400,55,CREATURE,21,"An instrument made of Pegasus crystal, a precious and rare glassy magic substance that looks like a frozen lake at dawn. While this artifact is equipped, beasts are usually docile towards you as long as you don’t harm them first, and you can take a +4 to any check to contest a demonic effect. You can blow a note on the instrument to roll Creature, DC21, and summon a spectral creature that protects and empowers a target. A protected target cannot be affected by demons or any hexes cast while they’re protected, and they take a +4 to two Abilities of your choice. If they are forced to Resist, they can choose to instead have the creature absorb the magic and disappear. The creature will take a different form to suit the abilities it is empowering, and the artifact itself can be any instrument that is blown into to play. Some are ocarinas, some are pan flutes, and there has been a recorded instance of one being a kazoo.",artifact_137Dz1xRT38z6yU
